Active Cores,Bandwidth (MB/s),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
3,2480.25708,c,r,262144,2,c,w,262144,2,19
3,2699.72583,c,r,262144,2,c,w,262144,2,26
3,2521.483154,c,r,262144,2,c,w,262144,2,9
3,2854.989258,c,r,262144,2,c,r,262144,2,6
3,2900.366699,c,r,262144,2,c,r,262144,2,14
3,2826.711426,c,r,262144,2,c,r,262144,2,22
3,2822.307617,c,r,262144,2,c,r,262144,2,23
3,2854.989258,c,r,262144,2,c,r,262144,2,7
3,2870.000488,c,r,262144,2,c,r,262144,2,15
3,2857.273438,c,r,262144,2,c,r,262144,2,21
3,2847.31543,c,r,262144,2,c,r,262144,2,28
3,2866.775146,c,r,262144,2,c,r,262144,2,17
3,2855.250244,c,r,262144,2,c,r,262144,2,5
3,2851.212402,c,r,262144,2,c,r,262144,2,29
3,2865.132568,c,r,262144,2,c,r,262144,2,16
3,2844.076172,c,r,262144,2,c,r,262144,2,4
3,2856.555176,c,r,262144,2,c,r,262144,2,20
3,2802.753418,c,r,262144,2,c,r,262144,2,30
3,2849.717285,c,r,262144,2,c,r,262144,2,8
3,2830.872314,c,r,262144,2,c,r,262144,2,25
3,2903.802734,c,r,262144,2,c,r,262144,2,13
3,2799.489258,c,r,262144,2,c,r,262144,2,1
3,2861.525146,c,r,262144,2,c,r,262144,2,12
3,2872.242676,c,r,262144,2,c,r,262144,2,9
3,2824.220703,c,r,262144,2,c,r,262144,2,24
3,2837.749023,c,r,262144,2,c,r,262144,2,2
3,2873.761475,c,r,262144,2,c,r,262144,2,10
3,2835.688965,c,r,262144,2,c,r,262144,2,19
3,2869.275635,c,r,262144,2,c,r,262144,2,26
3,2843.817627,c,r,262144,2,c,r,262144,2,18
3,2822.498779,c,r,262144,2,c,r,262144,2,27
3,2825.625,c,r,262144,2,c,r,262144,2,3
3,2842.265625,c,r,262144,2,c,r,262144,2,11
1,5734.734375,c,w,262144,2,c,r,262144,2,12
1,5838.393555,c,w,262144,2,c,r,262144,2,24
1,5785.697754,c,w,262144,2,c,r,262144,2,6
1,5764.087402,c,w,262144,2,c,r,262144,2,25
1,5727.63916,c,w,262144,2,c,r,262144,2,7
1,5733.418945,c,w,262144,2,c,r,262144,2,13
1,5755.064453,c,w,262144,2,c,r,262144,2,27
1,5804.234863,c,w,262144,2,c,r,262144,2,5
1,5826.962402,c,w,262144,2,c,r,262144,2,18
1,5749.77002,c,w,262144,2,c,r,262144,2,11
1,5774.73877,c,w,262144,2,c,r,262144,2,10
1,5803.695801,c,w,262144,2,c,r,262144,2,26
1,5769.408203,c,w,262144,2,c,r,262144,2,4
1,5733.418945,c,w,262144,2,c,r,262144,2,19
1,5797.23584,c,w,262144,2,c,r,262144,2,1
1,5782.21875,c,w,262144,2,c,r,262144,2,23
1,5796.429688,c,w,262144,2,c,r,262144,2,15
1,5771.272949,c,w,262144,2,c,r,262144,2,8
1,5772.87207,c,w,262144,2,c,r,262144,2,14
1,5714.024414,c,w,262144,2,c,r,262144,2,9
1,5785.430176,c,w,262144,2,c,r,262144,2,22
1,5747.654785,c,w,262144,2,c,r,262144,2,16
1,5777.942383,c,w,262144,2,c,r,262144,2,29
1,5790.522461,c,w,262144,2,c,r,262144,2,2
1,5725.016113,c,w,262144,2,c,r,262144,2,30
