Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,441563977988,443276842762,1712864774,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,r,1572864,2
1,443470261138,446014094381,2543833243,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,r,1572864,2
2,446226481742,448773425425,2546943683,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,r,1572864,2
3,448978673713,451530739528,2552065815,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,r,1572864,2
0,200889765103,200923839118,34074015,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,w,1572864,2
1,201118464254,201162852530,44388276,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,w,1572864,2
2,201374739301,201443675289,68935988,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,w,1572864,2
3,201647061210,202205971455,558910245,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,w,1572864,2
0,1241865611118,1246178092519,4312481401,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,w,1572864,2
1,1246374386422,1250688163793,4313777371,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,w,1572864,2
2,1250898689348,1255375337802,4476648454,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,w,1572864,2
3,1255579066828,1261465891543,5886824715,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,w,1572864,2
